category,canonical,string_to_replace,alias,ipa,priority
Branding & Grundbegriffe,Manhaj,Manhaj,Manhaj,/manhaj/,core
Weitere Begriffe,manhaj,manhaj,Manhaj,/manhaj/,extended
Branding & Grundbegriffe,Sunnah,Sunnah,Sunnah,/sunnah/,core
Weitere Begriffe,sunnah,sunnah,Sunnah,/sunnah/,extended
Branding & Grundbegriffe,Bidʿah,Bidʿah,Bid-ah,/bidʕah/,core
Weitere Begriffe,Bid'ah,Bid'ah,Bid-ah,/bidʕah/,extended
Weitere Begriffe,Bidah,Bidah,Bid-ah,/bidʕah/,extended
Weitere Begriffe,bidʿah,bidʿah,Bid-ah,/bidʕah/,extended
Weitere Begriffe,bid'ah,bid'ah,Bid-ah,/bidʕah/,extended
Weitere Begriffe,bidah,bidah,Bid-ah,/bidʕah/,extended
Branding & Grundbegriffe,Salaf,Salaf,Salaf,/salaf/,core
Weitere Begriffe,salaf,salaf,Salaf,/salaf/,extended
Branding & Grundbegriffe,Khalaf,Khalaf,Khalaf,/xalaf/,core
Weitere Begriffe,khalaf,khalaf,Khalaf,/xalaf/,extended
Branding & Grundbegriffe,Ahl as-Sunnah,Ahl as-Sunnah,Ahl as-Sunnah,/ahl as.sunnah/,core
Weitere Begriffe,ahl as-sunnah,ahl as-sunnah,Ahl as-Sunnah,/ahl as.sunnah/,extended
Branding & Grundbegriffe,Ahl as-Sunnah wa-l-Ǧamāʿah,Ahl as-Sunnah wa-l-Ǧamāʿah,Ahl as-Sunnah wa-l-Dschamaa-ah,/ahl as.sunnah wa.l.d͡ʒamaːʕah/,core
Weitere Begriffe,Ahl as-Sunnah wa-l-Jama'ah,Ahl as-Sunnah wa-l-Jama'ah,Ahl as-Sunnah wa-l-Dschamaa-ah,/ahl as.sunnah wa.l.d͡ʒamaːʕah/,extended
Weitere Begriffe,Ahl as-Sunnah wa-l-Jamaah,Ahl as-Sunnah wa-l-Jamaah,Ahl as-Sunnah wa-l-Dschamaa-ah,/ahl as.sunnah wa.l.d͡ʒamaːʕah/,extended
Weitere Begriffe,ahl as-sunnah wa-l-ǧamāʿah,ahl as-sunnah wa-l-ǧamāʿah,Ahl as-Sunnah wa-l-Dschamaa-ah,/ahl as.sunnah wa.l.d͡ʒamaːʕah/,extended
Weitere Begriffe,ahl as-sunnah wa-l-jama'ah,ahl as-sunnah wa-l-jama'ah,Ahl as-Sunnah wa-l-Dschamaa-ah,/ahl as.sunnah wa.l.d͡ʒamaːʕah/,extended
Weitere Begriffe,ahl as-sunnah wa-l-jamaah,ahl as-sunnah wa-l-jamaah,Ahl as-Sunnah wa-l-Dschamaa-ah,/ahl as.sunnah wa.l.d͡ʒamaːʕah/,extended
Branding & Grundbegriffe,Ahl al-Ḥadīṯ,Ahl al-Ḥadīṯ,Ahl al-Hadiith,/ahl al.ħadiːθ/,core
Weitere Begriffe,Ahl al-Hadith,Ahl al-Hadith,Ahl al-Hadiith,/ahl al.ħadiːθ/,extended
Weitere Begriffe,ahl al-ḥadīṯ,ahl al-ḥadīṯ,Ahl al-Hadiith,/ahl al.ħadiːθ/,extended
Weitere Begriffe,ahl al-hadith,ahl al-hadith,Ahl al-Hadiith,/ahl al.ħadiːθ/,extended
Branding & Grundbegriffe,Ahl al-Aṯar,Ahl al-Aṯar,Ahl al-Athar,/ahl al.aθar/,core
Weitere Begriffe,Ahl al-Athar,Ahl al-Athar,Ahl al-Athar,/ahl al.aθar/,extended
Weitere Begriffe,ahl al-aṯar,ahl al-aṯar,Ahl al-Athar,/ahl al.aθar/,extended
Weitere Begriffe,ahl al-athar,ahl al-athar,Ahl al-Athar,/ahl al.aθar/,extended
Branding & Grundbegriffe,Ahl al-Bayt,Ahl al-Bayt,Ahl al-Bayt,/ahl al.bajt/,core
Weitere Begriffe,ahl al-bayt,ahl al-bayt,Ahl al-Bayt,/ahl al.bajt/,extended
Branding & Grundbegriffe,Tawḥīd ar-Rubūbiyyah,Tawḥīd ar-Rubūbiyyah,Tawhiid ar-Rubuubiyyah,/tawħiːd ar.rubuːbijjah/,core
Weitere Begriffe,Tawhid ar-Rububiyyah,Tawhid ar-Rububiyyah,Tawhiid ar-Rubuubiyyah,/tawħiːd ar.rubuːbijjah/,extended
Weitere Begriffe,tawḥīd ar-rubūbiyyah,tawḥīd ar-rubūbiyyah,Tawhiid ar-Rubuubiyyah,/tawħiːd ar.rubuːbijjah/,extended
Weitere Begriffe,tawhid ar-rububiyyah,tawhid ar-rububiyyah,Tawhiid ar-Rubuubiyyah,/tawħiːd ar.rubuːbijjah/,extended
Branding & Grundbegriffe,Tawḥīd al-Ulūhiyyah,Tawḥīd al-Ulūhiyyah,Tawhiid al-Uluuhiyyah,/tawħiːd al.uluːhijjah/,core
Weitere Begriffe,Tawhid al-Uluhiyyah,Tawhid al-Uluhiyyah,Tawhiid al-Uluuhiyyah,/tawħiːd al.uluːhijjah/,extended
Weitere Begriffe,tawḥīd al-ulūhiyyah,tawḥīd al-ulūhiyyah,Tawhiid al-Uluuhiyyah,/tawħiːd al.uluːhijjah/,extended
Weitere Begriffe,tawhid al-uluhiyyah,tawhid al-uluhiyyah,Tawhiid al-Uluuhiyyah,/tawħiːd al.uluːhijjah/,extended
Branding & Grundbegriffe,Tawḥīd al-Asmāʾ wa-ṣ-Ṣifāt,Tawḥīd al-Asmāʾ wa-ṣ-Ṣifāt,Tawhiid al-Asmaa wa-s-Sifaat,/tawħiːd al.asmaːʔ wa.sˤ.sˤifaːt/,core
Weitere Begriffe,Tawhid al-Asma' wa-s-Sifat,Tawhid al-Asma' wa-s-Sifat,Tawhiid al-Asmaa wa-s-Sifaat,/tawħiːd al.asmaːʔ wa.sˤ.sˤifaːt/,extended
Weitere Begriffe,Tawhid al-Asma wa-s-Sifat,Tawhid al-Asma wa-s-Sifat,Tawhiid al-Asmaa wa-s-Sifaat,/tawħiːd al.asmaːʔ wa.sˤ.sˤifaːt/,extended
Weitere Begriffe,tawḥīd al-asmāʾ wa-ṣ-ṣifāt,tawḥīd al-asmāʾ wa-ṣ-ṣifāt,Tawhiid al-Asmaa wa-s-Sifaat,/tawħiːd al.asmaːʔ wa.sˤ.sˤifaːt/,extended
Weitere Begriffe,tawhid al-asma' wa-s-sifat,tawhid al-asma' wa-s-sifat,Tawhiid al-Asmaa wa-s-Sifaat,/tawħiːd al.asmaːʔ wa.sˤ.sˤifaːt/,extended
Weitere Begriffe,tawhid al-asma wa-s-sifat,tawhid al-asma wa-s-sifat,Tawhiid al-Asmaa wa-s-Sifaat,/tawħiːd al.asmaːʔ wa.sˤ.sˤifaːt/,extended
Branding & Grundbegriffe,Rubūbiyyah,Rubūbiyyah,Rubuubiyyah,/rubuːbijjah/,core
Weitere Begriffe,Rububiyyah,Rububiyyah,Rubuubiyyah,/rubuːbijjah/,extended
Weitere Begriffe,rubūbiyyah,rubūbiyyah,Rubuubiyyah,/rubuːbijjah/,extended
Weitere Begriffe,rububiyyah,rububiyyah,Rubuubiyyah,/rubuːbijjah/,extended
Branding & Grundbegriffe,Ulūhiyyah,Ulūhiyyah,Uluuhiyyah,/uluːhijjah/,core
Weitere Begriffe,Uluhiyyah,Uluhiyyah,Uluuhiyyah,/uluːhijjah/,extended
Weitere Begriffe,ulūhiyyah,ulūhiyyah,Uluuhiyyah,/uluːhijjah/,extended
Weitere Begriffe,uluhiyyah,uluhiyyah,Uluuhiyyah,/uluːhijjah/,extended
Branding & Grundbegriffe,Asmāʾ wa-Ṣifāt,Asmāʾ wa-Ṣifāt,Asmaa wa-Sifaat,/asmaːʔ wa.sˤifaːt/,core
Weitere Begriffe,Asma' wa-Sifat,Asma' wa-Sifat,Asmaa wa-Sifaat,/asmaːʔ wa.sˤifaːt/,extended
Weitere Begriffe,Asma wa-Sifat,Asma wa-Sifat,Asmaa wa-Sifaat,/asmaːʔ wa.sˤifaːt/,extended
Weitere Begriffe,asmāʾ wa-ṣifāt,asmāʾ wa-ṣifāt,Asmaa wa-Sifaat,/asmaːʔ wa.sˤifaːt/,extended
Weitere Begriffe,asma' wa-sifat,asma' wa-sifat,Asmaa wa-Sifaat,/asmaːʔ wa.sˤifaːt/,extended
Weitere Begriffe,asma wa-sifat,asma wa-sifat,Asmaa wa-Sifaat,/asmaːʔ wa.sˤifaːt/,extended
Branding & Grundbegriffe,Širk,Širk,Schirk,/ʃirk/,core
Weitere Begriffe,Shirk,Shirk,Schirk,/ʃirk/,extended
Weitere Begriffe,širk,širk,Schirk,/ʃirk/,extended
Weitere Begriffe,shirk,shirk,Schirk,/ʃirk/,extended
Branding & Grundbegriffe,Kufr,Kufr,Kufr,/kufr/,core
Weitere Begriffe,kufr,kufr,Kufr,/kufr/,extended
Branding & Grundbegriffe,Nifāq,Nifāq,Nifaaq,/nifaːq/,core
Weitere Begriffe,Nifaq,Nifaq,Nifaaq,/nifaːq/,extended
Weitere Begriffe,nifāq,nifāq,Nifaaq,/nifaːq/,extended
Weitere Begriffe,nifaq,nifaq,Nifaaq,/nifaːq/,extended
Branding & Grundbegriffe,Riddah,Riddah,Riddah,/riddah/,core
Weitere Begriffe,riddah,riddah,Riddah,/riddah/,extended
Branding & Grundbegriffe,Kāfir,Kāfir,Kaafir,/kaːfir/,core
Weitere Begriffe,Kafir,Kafir,Kaafir,/kaːfir/,extended
Weitere Begriffe,kāfir,kāfir,Kaafir,/kaːfir/,extended
Weitere Begriffe,kafir,kafir,Kaafir,/kaːfir/,extended
Branding & Grundbegriffe,Kuffār,Kuffār,Kuffaar,/kuffaːr/,core
Weitere Begriffe,Kuffar,Kuffar,Kuffaar,/kuffaːr/,extended
Weitere Begriffe,kuffār,kuffār,Kuffaar,/kuffaːr/,extended
Weitere Begriffe,kuffar,kuffar,Kuffaar,/kuffaːr/,extended
Branding & Grundbegriffe,Mušrik,Mušrik,Muschrik,/muʃrik/,core
Weitere Begriffe,Mushrik,Mushrik,Muschrik,/muʃrik/,extended
Weitere Begriffe,mušrik,mušrik,Muschrik,/muʃrik/,extended
Weitere Begriffe,mushrik,mushrik,Muschrik,/muʃrik/,extended
Branding & Grundbegriffe,Mušrikūn,Mušrikūn,Muschrikuun,/muʃrikuːn/,core
Weitere Begriffe,Mushrikun,Mushrikun,Muschrikuun,/muʃrikuːn/,extended
Weitere Begriffe,mušrikūn,mušrikūn,Muschrikuun,/muʃrikuːn/,extended
Weitere Begriffe,mushrikun,mushrikun,Muschrikuun,/muʃrikuːn/,extended
Branding & Grundbegriffe,Munāfiq,Munāfiq,Munaafiq,/munaːfiq/,core
Weitere Begriffe,Munafiq,Munafiq,Munaafiq,/munaːfiq/,extended
Weitere Begriffe,munāfiq,munāfiq,Munaafiq,/munaːfiq/,extended
Weitere Begriffe,munafiq,munafiq,Munaafiq,/munaːfiq/,extended
Branding & Grundbegriffe,Munāfiqūn,Munāfiqūn,Munaafiquun,/munaːfiquːn/,core
Weitere Begriffe,Munafiqun,Munafiqun,Munaafiquun,/munaːfiquːn/,extended
Weitere Begriffe,munāfiqūn,munāfiqūn,Munaafiquun,/munaːfiquːn/,extended
Weitere Begriffe,munafiqun,munafiqun,Munaafiquun,/munaːfiquːn/,extended
Branding & Grundbegriffe,Murtadd,Murtadd,Murtadd,/murtadd/,core
Weitere Begriffe,murtadd,murtadd,Murtadd,/murtadd/,extended
Branding & Grundbegriffe,Ṭāġūt,Ṭāġūt,Taaghuut,/tˤaːˈɣuːt/,core
Weitere Begriffe,Taghut,Taghut,Taaghuut,/tˤaːˈɣuːt/,extended
Weitere Begriffe,ṭāġūt,ṭāġūt,Taaghuut,/tˤaːˈɣuːt/,extended
Weitere Begriffe,taghut,taghut,Taaghuut,/tˤaːˈɣuːt/,extended
Branding & Grundbegriffe,Takfīr,Takfīr,Takfiir,/takfiːr/,core
Weitere Begriffe,Takfir,Takfir,Takfiir,/takfiːr/,extended
Weitere Begriffe,takfīr,takfīr,Takfiir,/takfiːr/,extended
Weitere Begriffe,takfir,takfir,Takfiir,/takfiːr/,extended
Branding & Grundbegriffe,Takfīr al-muʿayyan,Takfīr al-muʿayyan,Takfiir al-mu-ayyan,/takfiːr al.muʕajjan/,core
Weitere Begriffe,Takfir al-mu'ayyan,Takfir al-mu'ayyan,Takfiir al-mu-ayyan,/takfiːr al.muʕajjan/,extended
Weitere Begriffe,Takfir al-muayyan,Takfir al-muayyan,Takfiir al-mu-ayyan,/takfiːr al.muʕajjan/,extended
Weitere Begriffe,takfīr al-muʿayyan,takfīr al-muʿayyan,Takfiir al-mu-ayyan,/takfiːr al.muʕajjan/,extended
Weitere Begriffe,takfir al-mu'ayyan,takfir al-mu'ayyan,Takfiir al-mu-ayyan,/takfiːr al.muʕajjan/,extended
Weitere Begriffe,takfir al-muayyan,takfir al-muayyan,Takfiir al-mu-ayyan,/takfiːr al.muʕajjan/,extended
"Allah, Lobpreisungen & Grußformeln",Allāh,Allāh,Allaah,/ʔalˈlaːh/,core
"Allah, Lobpreisungen & Grußformeln",Allah,Allah,Allaah,/ʔalˈlaːh/,core
Weitere Begriffe,allāh,allāh,Allaah,/ʔalˈlaːh/,extended
Weitere Begriffe,allah,allah,Allaah,/ʔalˈlaːh/,extended
"Allah, Lobpreisungen & Grußformeln",Subḥānahu wa-taʿālā,Subḥānahu wa-taʿālā,Subhaanahu wa ta-aalaa,/subˈħaːnahu wa.taʕaːlaː/,core
Weitere Begriffe,Subhanahu wa-ta'ala,Subhanahu wa-ta'ala,Subhaanahu wa ta-aalaa,/subˈħaːnahu wa.taʕaːlaː/,extended
Weitere Begriffe,Subhanahu wa-taala,Subhanahu wa-taala,Subhaanahu wa ta-aalaa,/subˈħaːnahu wa.taʕaːlaː/,extended
"Allah, Lobpreisungen & Grußformeln",subḥānahu wa-taʿālā,subḥānahu wa-taʿālā,Subhaanahu wa ta-aalaa,/subˈħaːnahu wa.taʕaːlaː/,core
Weitere Begriffe,subhanahu wa-ta'ala,subhanahu wa-ta'ala,Subhaanahu wa ta-aalaa,/subˈħaːnahu wa.taʕaːlaː/,extended
Weitere Begriffe,subhanahu wa-taala,subhanahu wa-taala,Subhaanahu wa ta-aalaa,/subˈħaːnahu wa.taʕaːlaː/,extended
"Allah, Lobpreisungen & Grußformeln",ʿazza wa-ǧall,ʿazza wa-ǧall,Azza wa dschall,/ʕazza wa d͡ʒall/,core
Weitere Begriffe,'azza wa-jall,'azza wa-jall,Azza wa dschall,/ʕazza wa d͡ʒall/,extended
Weitere Begriffe,azza wa-jall,azza wa-jall,Azza wa dschall,/ʕazza wa d͡ʒall/,extended
"Allah, Lobpreisungen & Grußformeln",ʿazza wa-jall,ʿazza wa-jall,Azza wa dschall,/ʕazza wa.d͡ʒall/,core
"Allah, Lobpreisungen & Grußformeln",tabāraka wa-taʿālā,tabāraka wa-taʿālā,tabaaraka wa-ta-aalaa,/tabaːraka wa.taʕaːlaː/,core
Weitere Begriffe,tabaraka wa-ta'ala,tabaraka wa-ta'ala,tabaaraka wa-ta-aalaa,/tabaːraka wa.taʕaːlaː/,extended
Weitere Begriffe,tabaraka wa-taala,tabaraka wa-taala,tabaaraka wa-ta-aalaa,/tabaːraka wa.taʕaːlaː/,extended
"Allah, Lobpreisungen & Grußformeln",ṣallā llāhu ʿalayhi wa-sallam,ṣallā llāhu ʿalayhi wa-sallam,Sallallaahu alaihi wa sallam,/sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam/,core
Weitere Begriffe,salla llahu 'alayhi wa-sallam,salla llahu 'alayhi wa-sallam,Sallallaahu alaihi wa sallam,/sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam/,extended
Weitere Begriffe,salla llahu alayhi wa-sallam,salla llahu alayhi wa-sallam,Sallallaahu alaihi wa sallam,/sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam/,extended
"Allah, Lobpreisungen & Grußformeln",ṣallā Allāhu ʿalayhi wa-sallam,ṣallā Allāhu ʿalayhi wa-sallam,Sallallaahu alaihi wa sallam,/sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam/,core
Weitere Begriffe,salla Allahu 'alayhi wa-sallam,salla Allahu 'alayhi wa-sallam,Sallallaahu alaihi wa sallam,/sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam/,extended
Weitere Begriffe,salla Allahu alayhi wa-sallam,salla Allahu alayhi wa-sallam,Sallallaahu alaihi wa sallam,/sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam/,extended
Weitere Begriffe,ṣallā allāhu ʿalayhi wa-sallam,ṣallā allāhu ʿalayhi wa-sallam,Sallallaahu alaihi wa sallam,/sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam/,extended
Weitere Begriffe,salla allahu 'alayhi wa-sallam,salla allahu 'alayhi wa-sallam,Sallallaahu alaihi wa sallam,/sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam/,extended
Weitere Begriffe,salla allahu alayhi wa-sallam,salla allahu alayhi wa-sallam,Sallallaahu alaihi wa sallam,/sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam/,extended
"Allah, Lobpreisungen & Grußformeln",ʿalayhi s-salām,ʿalayhi s-salām,Alaihis-Salaam,/ʕaˈlajhis.saˈlaːm/,core
Weitere Begriffe,'alayhi s-salam,'alayhi s-salam,Alaihis-Salaam,/ʕaˈlajhis.saˈlaːm/,extended
Weitere Begriffe,alayhi s-salam,alayhi s-salam,Alaihis-Salaam,/ʕaˈlajhis.saˈlaːm/,extended
"Allah, Lobpreisungen & Grußformeln",ʿalayhā s-salām,ʿalayhā s-salām,Alaihas-Salaam,/ʕaˈlajhaːs.saˈlaːm/,core
Weitere Begriffe,'alayha s-salam,'alayha s-salam,Alaihas-Salaam,/ʕaˈlajhaːs.saˈlaːm/,extended
Weitere Begriffe,alayha s-salam,alayha s-salam,Alaihas-Salaam,/ʕaˈlajhaːs.saˈlaːm/,extended
"Allah, Lobpreisungen & Grußformeln",ʿalayhimā s-salām,ʿalayhimā s-salām,Alaihimas-Salaam,/ʕaˈlajhimaːs.saˈlaːm/,core
Weitere Begriffe,'alayhima s-salam,'alayhima s-salam,Alaihimas-Salaam,/ʕaˈlajhimaːs.saˈlaːm/,extended
Weitere Begriffe,alayhima s-salam,alayhima s-salam,Alaihimas-Salaam,/ʕaˈlajhimaːs.saˈlaːm/,extended
"Allah, Lobpreisungen & Grußformeln",ʿalayhimu s-salām,ʿalayhimu s-salām,Alaihimus-Salaam,/ʕaˈlajhimus.saˈlaːm/,core
Weitere Begriffe,'alayhimu s-salam,'alayhimu s-salam,Alaihimus-Salaam,/ʕaˈlajhimus.saˈlaːm/,extended
Weitere Begriffe,alayhimu s-salam,alayhimu s-salam,Alaihimus-Salaam,/ʕaˈlajhimus.saˈlaːm/,extended
"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhu,raḍiya llāhu ʿanhu,Radiyallaahu anhu,/radˤi.jalˈlaːhu ʕanhu/,core
Weitere Begriffe,radiya llahu 'anhu,radiya llahu 'anhu,Radiyallaahu anhu,/radˤi.jalˈlaːhu ʕanhu/,extended
Weitere Begriffe,radiya llahu anhu,radiya llahu anhu,Radiyallaahu anhu,/radˤi.jalˈlaːhu ʕanhu/,extended
"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhā,raḍiya llāhu ʿanhā,Radiyallaahu anhaa,/radˤi.jalˈlaːhu ʕanhaː/,core
Weitere Begriffe,radiya llahu 'anha,radiya llahu 'anha,Radiyallaahu anhaa,/radˤi.jalˈlaːhu ʕanhaː/,extended
Weitere Begriffe,radiya llahu anha,radiya llahu anha,Radiyallaahu anhaa,/radˤi.jalˈlaːhu ʕanhaː/,extended
"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhumā,raḍiya llāhu ʿanhumā,Radiyallaahu anhumaa,/radˤi.jalˈlaːhu ʕanhumaː/,core
Weitere Begriffe,radiya llahu 'anhuma,radiya llahu 'anhuma,Radiyallaahu anhumaa,/radˤi.jalˈlaːhu ʕanhumaː/,extended
Weitere Begriffe,radiya llahu anhuma,radiya llahu anhuma,Radiyallaahu anhumaa,/radˤi.jalˈlaːhu ʕanhumaː/,extended
"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhum,raḍiya llāhu ʿanhum,Radiyallaahu anhum,/radˤi.jalˈlaːhu ʕanhum/,core
Weitere Begriffe,radiya llahu 'anhum,radiya llahu 'anhum,Radiyallaahu anhum,/radˤi.jalˈlaːhu ʕanhum/,extended
Weitere Begriffe,radiya llahu anhum,radiya llahu anhum,Radiyallaahu anhum,/radˤi.jalˈlaːhu ʕanhum/,extended
"Allah, Lobpreisungen & Grußformeln",raḥimahu llāh,raḥimahu llāh,Rahimahullaah,/raħimahulˈlaːh/,core
Weitere Begriffe,rahimahu llah,rahimahu llah,Rahimahullaah,/raħimahulˈlaːh/,extended
"Allah, Lobpreisungen & Grußformeln",raḥimahā llāh,raḥimahā llāh,Rahimahallaah,/raħimahaː llaːh/,core
Weitere Begriffe,rahimaha llah,rahimaha llah,Rahimahallaah,/raħimahaː llaːh/,extended
"Allah, Lobpreisungen & Grußformeln",raḥimahumu llāh,raḥimahumu llāh,Rahimahumullaah,/raħimahumu llaːh/,core
Weitere Begriffe,rahimahumu llah,rahimahumu llah,Rahimahumullaah,/raħimahumu llaːh/,extended
"Allah, Lobpreisungen & Grußformeln",ḥafiẓahu llāh,ḥafiẓahu llāh,hafizahu llaah,/ħafiðˤahu llaːh/,core
Weitere Begriffe,hafizahu llah,hafizahu llah,hafizahu llaah,/ħafiðˤahu llaːh/,extended
"Allah, Lobpreisungen & Grußformeln",Bismi llāh,Bismi llāh,Bismillaah,/bismi llaːh/,core
Weitere Begriffe,Bismi llah,Bismi llah,Bismillaah,/bismi llaːh/,extended
