category,input,alias,ipa,priority
Branding & Grundbegriffe,Kufr,Kufr,kufr,core
Branding & Grundbegriffe,Nifāq,Nifaaq,nifaːq,core
Branding & Grundbegriffe,Riddah,Riddah,riddah,core
Branding & Grundbegriffe,Kāfir,Kaafir,kaːfir,core
Branding & Grundbegriffe,Kuffār,Kuffaar,kuffaːr,core
Branding & Grundbegriffe,Mušrik,Muschrik,muʃrik,core
Branding & Grundbegriffe,Mušrikūn,Muschrikuun,muʃrikuːn,core
Branding & Grundbegriffe,Munāfiq,Munaafiq,munaːfiq,core
Branding & Grundbegriffe,Munāfiqūn,Munaafiquun,munaːfiquːn,core
Branding & Grundbegriffe,Murtadd,Murtadd,murtadd,core
Branding & Grundbegriffe,Ṭāġūt,Taaghuut,tˤaːˈɣuːt,core
Branding & Grundbegriffe,Takfīr,Takfiir,takfiːr,core
Branding & Grundbegriffe,Takfīr al-muʿayyan,Takfiir al-mu-ayyan,takfiːr al.muʕajjan,core
"Allah, Lobpreisungen & Grußformeln",Allāh,Allaah,ʔalˈlaːh,core
"Allah, Lobpreisungen & Grußformeln",Allah,Allaah,ʔalˈlaːh,core
"Allah, Lobpreisungen & Grußformeln",Subḥānahu wa-taʿālā,Subhaanahu wa ta-aalaa,subˈħaːnahu wa.taʕaːlaː,core
"Allah, Lobpreisungen & Grußformeln",subḥānahu wa-taʿālā,Subhaanahu wa ta-aalaa,subħaːnahu wa.taʕaːlaː,core
"Allah, Lobpreisungen & Grußformeln",ʿazza wa-ǧall,Azza wa dschall,ʕazza wa d͡ʒall,core
"Allah, Lobpreisungen & Grußformeln",ʿazza wa-jall,Azza wa dschall,ʕazza wa.d͡ʒall,core
"Allah, Lobpreisungen & Grußformeln",tabāraka wa-taʿālā,tabaaraka wa-ta-aalaa,tabaːraka wa.taʕaːlaː,core
"Allah, Lobpreisungen & Grußformeln",ṣallā llāhu ʿalayhi wa-sallam,Sallallaahu alaihi wa sallam,sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam,core
"Allah, Lobpreisungen & Grußformeln",ṣallā Allāhu ʿalayhi wa-sallam,Sallallaahu alaihi wa sallam,sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam,core
"Allah, Lobpreisungen & Grußformeln",ʿalayhi s-salām,Alaihis-Salaam,ʕaˈlajhis.saˈlaːm,core
"Allah, Lobpreisungen & Grußformeln",ʿalayhā s-salām,Alaihas-Salaam,ʕaˈlajhaːs.saˈlaːm,core
"Allah, Lobpreisungen & Grußformeln",ʿalayhimā s-salām,Alaihimas-Salaam,ʕaˈlajhimaːs.saˈlaːm,core
"Allah, Lobpreisungen & Grußformeln",ʿalayhimu s-salām,Alaihimus-Salaam,ʕaˈlajhimus.saˈlaːm,core
"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhu,Radiyallaahu anhu,radˤi.jalˈlaːhu ʕanhu,core
"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhā,Radiyallaahu anhaa,radˤi.jalˈlaːhu ʕanhaː,core
"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhumā,Radiyallaahu anhumaa,radˤi.jalˈlaːhu ʕanhumaː,core
"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhum,Radiyallaahu anhum,radˤi.jalˈlaːhu ʕanhum,core
"Allah, Lobpreisungen & Grußformeln",raḥimahu llāh,Rahimahullaah,raħimahulˈlaːh,core
"Allah, Lobpreisungen & Grußformeln",raḥimahā llāh,Rahimahallaah,raħimahaː llaːh,core
"Allah, Lobpreisungen & Grußformeln",raḥimahumu llāh,Rahimahumullaah,raħimahumu llaːh,core
"Allah, Lobpreisungen & Grußformeln",ḥafiẓahu llāh,hafizahu llaah,ħafiðˤahu llaːh,core
"Allah, Lobpreisungen & Grußformeln",Bismi llāh,Bismillaah,bismi llaːh,core
"Allah, Lobpreisungen & Grußformeln",Bismillāh,Bismillaah,bismilˈlaːh,core
"Allah, Lobpreisungen & Grußformeln",al-ḥamdu li-llāh,al-hamdu li-llaah,al.ħamdu li.llaːh,core
"Allah, Lobpreisungen & Grußformeln",Alḥamdulillāh,Alhamdulillaah,alħamdu lilˈlaːh,core
"Allah, Lobpreisungen & Grußformeln",Subḥānallāh,Subhaanallaah,subħaːnalˈlaːh,core
"Allah, Lobpreisungen & Grußformeln",Allāhu akbar,Allaahu Akbar,alˈlaːhu ʔakbar,core
"Allah, Lobpreisungen & Grußformeln",lā ilāha illā llāh,Laa ilaaha illallaah,laː ilaːha illaː llaːh,core
"Allah, Lobpreisungen & Grußformeln",Lā ilāha illā Allāh,Laa ilaaha illallaah,laː ʔilaːha ʔilˈlaː lˈlaːh,core
"Allah, Lobpreisungen & Grußformeln",Astaghfirullāh,Astaghfirullaah,astaɣfirullaːh,core
"Allah, Lobpreisungen & Grußformeln",in šāʾ Allāh,in schaa Allaah,in ʃaːʔ allaːh,core
"Allah, Lobpreisungen & Grußformeln",In šāʾ Allāh,in schaa Allaah,in ʃaːʔ allaːh,core
"Allah, Lobpreisungen & Grußformeln",mā šāʾ Allāh,maa schaa Allaah,maː ʃaːʔ allaːh,core
"Allah, Lobpreisungen & Grußformeln",Mā šāʾ Allāh,maa schaa Allaah,maː ʃaːʔ allaːh,core
"Allah, Lobpreisungen & Grußformeln",bāraka llāhu fīk,baaraka llaahu fiik,baːraka llaːhu fiːk,core
"Allah, Lobpreisungen & Grußformeln",bāraka llāhu fīkum,baaraka llaahu fiikum,baːraka llaːhu fiːkum,core
"Allah, Lobpreisungen & Grußformeln",ǧazāka llāhu khayran,dschazaaka llaahu khayran,d͡ʒazaːka llaːhu xajran,core
"Allah, Lobpreisungen & Grußformeln",ǧazākumu llāhu khayran,dschazaakumu llaahu khayran,d͡ʒazaːkumu llaːhu xajran,core
"Allah, Lobpreisungen & Grußformeln",as-salāmu ʿalaykum,as-Salaamu alaikum,as.saˈlaːmu ʕaˈlajkum,core
"Allah, Lobpreisungen & Grußformeln",wa-ʿalaykumu s-salām,wa alaikumus-Salaam,waʕaˈlajkumu s.saˈlaːm,core
"Allah, Lobpreisungen & Grußformeln",fī amāni llāh,fii amaani llaah,fiː amaːni llaːh,core
"Allah, Lobpreisungen & Grußformeln",ḥasbunā llāhu wa-niʿma l-wakīl,hasbunaa llaahu wa-ni-ma l-wakiil,ħasbunaː llaːhu wa.niʕma l.wakiːl,core
"Allah, Lobpreisungen & Grußformeln",lā ḥawla wa-lā quwwata illā bi-llāh,laa hawla wa-laa quwwata illaa bi-llaah,laː ħawla wa.laː quwwata illaː bi.llaːh,core
"Allah, Lobpreisungen & Grußformeln",innā li-llāhi wa-innā ilayhi rāǧiʿūn,innaa li-llaahi wa-innaa ilayhi raadschi-uun,innaː li.llaːhi wa.innaː ilajhi raːd͡ʒiʕuːn,core
Qurʾān & Qurʾān-Wissenschaften,Qurʾān,Qur-aan,qurˈʔaːn,extended
Qurʾān & Qurʾān-Wissenschaften,al-Qurʾān,al-Qur-aan,al.qurˈʔaːn,extended
Qurʾān & Qurʾān-Wissenschaften,Muṣḥaf,Mushaf,musˤħaf,extended
Qurʾān & Qurʾān-Wissenschaften,Sūrah,Suurah,suːrah,extended
Qurʾān & Qurʾān-Wissenschaften,Sūra,Suura,suːra,extended
Qurʾān & Qurʾān-Wissenschaften,Āyah,Aayah,aːjah,extended
Qurʾān & Qurʾān-Wissenschaften,Āyāt,Aayaat,aːjaːt,extended
Qurʾān & Qurʾān-Wissenschaften,Tafsīr,Tafsiir,tafsiːr,extended
Qurʾān & Qurʾān-Wissenschaften,Mufassir,Mufassir,mufassir,extended
Qurʾān & Qurʾān-Wissenschaften,Mufassirūn,Mufassiruun,mufassiruːn,extended
Qurʾān & Qurʾān-Wissenschaften,Taʾwīl,Ta-wiil,taʔwiːl,extended
Qurʾān & Qurʾān-Wissenschaften,Tanzīl,Tanziil,tanziːl,extended
Qurʾān & Qurʾān-Wissenschaften,Waḥy,Wahy,waħj,extended
Qurʾān & Qurʾān-Wissenschaften,Asbāb an-nuzūl,Asbaab an-nuzuul,asbaːb an.nuzuːl,extended
Qurʾān & Qurʾān-Wissenschaften,Nuzūl,Nuzuul,nuzuːl,extended
Qurʾān & Qurʾān-Wissenschaften,Makkiyy,Makkiyy,makkijj,extended
Qurʾān & Qurʾān-Wissenschaften,Madaniyy,Madaniyy,madanijj,extended
Qurʾān & Qurʾān-Wissenschaften,Muḥkam,Muhkam,muħkam,extended
Qurʾān & Qurʾān-Wissenschaften,Mutašābih,Mutaschaabih,mutaʃaːbih,extended
Qurʾān & Qurʾān-Wissenschaften,Nāsikh,Naasikh,naːsix,extended
Qurʾān & Qurʾān-Wissenschaften,Mansūkh,Mansuukh,mansuːx,extended
Qurʾān & Qurʾān-Wissenschaften,Qirāʾah,Qiraa-ah,qiraːʔah,extended
Qurʾān & Qurʾān-Wissenschaften,Qirāʾāt,Qiraa-aat,qiraːʔaːt,extended
Qurʾān & Qurʾān-Wissenschaften,Taǧwīd,Tadschwiid,tad͡ʒwiːd,extended
Qurʾān & Qurʾān-Wissenschaften,Tartīl,Tartiil,tartiːl,extended
Qurʾān & Qurʾān-Wissenschaften,Ḥifẓ,Hifz,ħifðˤ,extended
Qurʾān & Qurʾān-Wissenschaften,Ḥāfiẓ,Haafiz,ħaːfiðˤ,extended
Qurʾān & Qurʾān-Wissenschaften,Ḥuffāẓ,Huffaaz,ħuffaːðˤ,extended
Qurʾān & Qurʾān-Wissenschaften,Riwayah,Riwayah,riwajah,extended
Qurʾān & Qurʾān-Wissenschaften,Ḥafṣ ʿan ʿĀṣim,Hafs an Aasim,ħafsˤ ʕan ʕaːsˤim,extended
Qurʾān & Qurʾān-Wissenschaften,Warš ʿan Nāfiʿ,Warsch an Naafi-,warʃ ʕan naːfiʕ,extended
Qurʾān & Qurʾān-Wissenschaften,Sajdah,Sajdah,sajdah,extended
Qurʾān & Qurʾān-Wissenschaften,Sūrat al-Fātiḥah,Suurat al-Faatihah,suːrat al.faːtiħah,extended
Qurʾān & Qurʾān-Wissenschaften,al-Fātiḥah,al-Faatihah,al.faːtiħah,extended
Qurʾān & Qurʾān-Wissenschaften,Āyat al-Kursī,Aayat al-Kursii,aːjat al.kursiː,extended
Qurʾān & Qurʾān-Wissenschaften,al-Baqarah,al-Baqarah,al.baqarah,extended
Qurʾān & Qurʾān-Wissenschaften,Āl ʿImrān,Aal Imraan,aːl ʕimraːn,extended
Qurʾān & Qurʾān-Wissenschaften,an-Nisāʾ,an-Nisaa-,an.nisaːʔ,extended
Qurʾān & Qurʾān-Wissenschaften,al-Māʾidah,al-Maa-idah,al.maːʔidah,extended
Qurʾān & Qurʾān-Wissenschaften,al-Anʿām,al-An-aam,al.anʕaːm,extended
Qurʾān & Qurʾān-Wissenschaften,al-Aʿrāf,al-A-raaf,al.aʕraːf,extended
Qurʾān & Qurʾān-Wissenschaften,al-Anfāl,al-Anfaal,al.anfaːl,extended
Qurʾān & Qurʾān-Wissenschaften,at-Tawbah,at-Tawbah,at.tawbah,extended
Qurʾān & Qurʾān-Wissenschaften,Yūnus,Yuunus,juːnus,extended
Qurʾān & Qurʾān-Wissenschaften,Hūd,Huud,huːd,extended
Qurʾān & Qurʾān-Wissenschaften,Yūsuf,Yuusuf,ˈjuːsuf,extended
Qurʾān & Qurʾān-Wissenschaften,ar-Raʿd,ar-Ra-d,ar.raʕd,extended
Qurʾān & Qurʾān-Wissenschaften,Ibrāhīm,Ibraahiim,ʔib.raːˈhiːm,extended
Qurʾān & Qurʾān-Wissenschaften,al-Ḥiǧr,al-Hidschr,al.ħid͡ʒr,extended
Qurʾān & Qurʾān-Wissenschaften,an-Naḥl,an-Nahl,an.naħl,extended
Qurʾān & Qurʾān-Wissenschaften,al-Isrāʾ,al-Israa-,al.israːʔ,extended
Qurʾān & Qurʾān-Wissenschaften,al-Kahf,al-Kahf,al.kahf,extended
Qurʾān & Qurʾān-Wissenschaften,Maryam,Maryam,marjam,extended
Qurʾān & Qurʾān-Wissenschaften,Ṭā-Hā,Taa-Haa,tˤaː.haː,extended
Qurʾān & Qurʾān-Wissenschaften,al-Anbiyāʾ,al-Anbiyaa-,al.anbijaːʔ,extended
Qurʾān & Qurʾān-Wissenschaften,al-Ḥaǧǧ,al-Hadschdsch,al.ħad͡ʒd͡ʒ,extended
Qurʾān & Qurʾān-Wissenschaften,al-Muʾminūn,al-Mu-minuun,al.muʔminuːn,extended
Qurʾān & Qurʾān-Wissenschaften,an-Nūr,an-Nuur,an.nuːr,extended
Qurʾān & Qurʾān-Wissenschaften,al-Furqān,al-Furqaan,al.furqaːn,extended
Qurʾān & Qurʾān-Wissenschaften,aš-Šuʿarāʾ,asch-Schu-araa-,aʃ.ʃuʕaraːʔ,extended
Qurʾān & Qurʾān-Wissenschaften,an-Naml,an-Naml,an.naml,extended
Qurʾān & Qurʾān-Wissenschaften,al-Qaṣaṣ,al-Qasas,al.qasˤasˤ,extended
Qurʾān & Qurʾān-Wissenschaften,al-ʿAnkabūt,al-Ankabuut,al.ʕankabuːt,extended
Qurʾān & Qurʾān-Wissenschaften,ar-Rūm,ar-Ruum,ar.ruːm,extended
Qurʾān & Qurʾān-Wissenschaften,Luqmān,Luqmaan,luqmaːn,extended
Qurʾān & Qurʾān-Wissenschaften,as-Saǧdah,as-Sadschdah,as.sad͡ʒdah,extended
Qurʾān & Qurʾān-Wissenschaften,al-Aḥzāb,al-Ahzaab,al.aħzaːb,extended
Qurʾān & Qurʾān-Wissenschaften,Sabaʾ,Saba-,sabaʔ,extended
Qurʾān & Qurʾān-Wissenschaften,Fāṭir,Faatir,faːtˤir,extended
Qurʾān & Qurʾān-Wissenschaften,Yā-Sīn,Yaa-Siin,jaː.siːn,extended
Qurʾān & Qurʾān-Wissenschaften,aṣ-Ṣāffāt,as-Saaffaat,asˤ.sˤaːffaːt,extended
Qurʾān & Qurʾān-Wissenschaften,Ṣād,Saad,sˤaːd,extended
Qurʾān & Qurʾān-Wissenschaften,az-Zumar,az-Zumar,az.zumar,extended
Qurʾān & Qurʾān-Wissenschaften,Ġāfir,Ghaafir,ɣaːfir,extended
Qurʾān & Qurʾān-Wissenschaften,Fuṣṣilat,Fussilat,fusˤsˤilat,extended
Qurʾān & Qurʾān-Wissenschaften,aš-Šūrā,asch-Schuuraa,aʃ.ʃuːraː,extended
Qurʾān & Qurʾān-Wissenschaften,az-Zuḫruf,az-Zuchruf,az.zuxruf,extended
Qurʾān & Qurʾān-Wissenschaften,ad-Duḫān,ad-Duchaan,ad.duxaːn,extended
Qurʾān & Qurʾān-Wissenschaften,al-Ǧāṯiyah,al-Dschaathiyah,al.d͡ʒaːθijah,extended
Qurʾān & Qurʾān-Wissenschaften,al-Aḥqāf,al-Ahqaaf,al.aħqaːf,extended
Qurʾān & Qurʾān-Wissenschaften,Muḥammad,Muhammad,muˈħammad,extended
Qurʾān & Qurʾān-Wissenschaften,al-Fatḥ,al-Fath,al.fatħ,extended
Qurʾān & Qurʾān-Wissenschaften,al-Ḥuǧurāt,al-Hudschuraat,al.ħud͡ʒuraːt,extended
Qurʾān & Qurʾān-Wissenschaften,Qāf,Qaaf,qaːf,extended
Qurʾān & Qurʾān-Wissenschaften,aḏ-Ḏāriyāt,adh-Dhaariyaat,að.ðaːrijaːt,extended
Qurʾān & Qurʾān-Wissenschaften,aṭ-Ṭūr,at-Tuur,atˤ.tˤuːr,extended
Qurʾān & Qurʾān-Wissenschaften,an-Naǧm,an-Nadschm,an.nad͡ʒm,extended
Qurʾān & Qurʾān-Wissenschaften,al-Qamar,al-Qamar,al.qamar,extended
Qurʾān & Qurʾān-Wissenschaften,ar-Raḥmān,ar-Rahmaan,ar.raħmaːn,extended
Qurʾān & Qurʾān-Wissenschaften,al-Wāqiʿah,al-Waaqi-ah,al.waːqiʕah,extended
Qurʾān & Qurʾān-Wissenschaften,al-Ḥadīd,al-Hadiid,al.ħadiːd,extended
Qurʾān & Qurʾān-Wissenschaften,al-Muǧādilah,al-Mudschaadilah,al.mud͡ʒaːdilah,extended
Qurʾān & Qurʾān-Wissenschaften,al-Ḥašr,al-Haschr,al.ħaʃr,extended
Qurʾān & Qurʾān-Wissenschaften,al-Mumtaḥanah,al-Mumtahanah,al.mumtaħanah,extended
Qurʾān & Qurʾān-Wissenschaften,aṣ-Ṣaff,as-Saff,asˤ.sˤaff,extended
Qurʾān & Qurʾān-Wissenschaften,al-Ǧumuʿah,al-Dschumu-ah,al.d͡ʒumuʕah,extended
Qurʾān & Qurʾān-Wissenschaften,al-Munāfiqūn,al-Munaafiquun,al.munaːfiquːn,extended
Qurʾān & Qurʾān-Wissenschaften,at-Taġābun,at-Taghaabun,at.taɣaːbun,extended
Qurʾān & Qurʾān-Wissenschaften,aṭ-Ṭalāq,at-Talaaq,atˤ.tˤalaːq,extended
Qurʾān & Qurʾān-Wissenschaften,at-Taḥrīm,at-Tahriim,at.taħriːm,extended
Qurʾān & Qurʾān-Wissenschaften,al-Mulk,al-Mulk,al.mulk,extended
Qurʾān & Qurʾān-Wissenschaften,al-Qalam,al-Qalam,al.qalam,extended
Qurʾān & Qurʾān-Wissenschaften,al-Ḥāqqah,al-Haaqqah,al.ħaːqqah,extended
Qurʾān & Qurʾān-Wissenschaften,al-Maʿāriǧ,al-Ma-aaridsch,al.maʕaːrid͡ʒ,extended
Qurʾān & Qurʾān-Wissenschaften,Nūḥ,Nuuh,nuːħ,extended
Qurʾān & Qurʾān-Wissenschaften,al-Ǧinn,al-Dschinn,al.d͡ʒinn,extended
Qurʾān & Qurʾān-Wissenschaften,al-Muzzammil,al-Muzzammil,al.muzzammil,extended
Qurʾān & Qurʾān-Wissenschaften,al-Muddaṯṯir,al-Muddaththir,al.muddaθθir,extended
Qurʾān & Qurʾān-Wissenschaften,al-Qiyāmah,al-Qiyaamah,al.qijaːmah,extended
Qurʾān & Qurʾān-Wissenschaften,al-Insān,al-Insaan,al.insaːn,extended
Qurʾān & Qurʾān-Wissenschaften,al-Mursalāt,al-Mursalaat,al.mursalaːt,extended
Qurʾān & Qurʾān-Wissenschaften,an-Nabaʾ,an-Naba-,an.nabaʔ,extended
Qurʾān & Qurʾān-Wissenschaften,an-Nāziʿāt,an-Naazi-aat,an.naːziʕaːt,extended
Qurʾān & Qurʾān-Wissenschaften,ʿAbasa,-Abasa,ʕabasa,extended
Qurʾān & Qurʾān-Wissenschaften,at-Takwīr,at-Takwiir,at.takwiːr,extended
Qurʾān & Qurʾān-Wissenschaften,al-Infiṭār,al-Infitaar,al.infitˤaːr,extended
Qurʾān & Qurʾān-Wissenschaften,al-Muṭaffifīn,al-Mutaffifiin,al.mutˤaffifiːn,extended
Qurʾān & Qurʾān-Wissenschaften,al-Inšiqāq,al-Inschiqaaq,al.inʃiqaːq,extended
Qurʾān & Qurʾān-Wissenschaften,al-Burūǧ,al-Buruudsch,al.buruːd͡ʒ,extended
Qurʾān & Qurʾān-Wissenschaften,aṭ-Ṭāriq,at-Taariq,atˤ.tˤaːriq,extended
Qurʾān & Qurʾān-Wissenschaften,al-Aʿlā,al-A-laa,al.aʕlaː,extended
Qurʾān & Qurʾān-Wissenschaften,al-Ġāšiyah,al-Ghaaschiyah,al.ɣaːʃijah,extended
Qurʾān & Qurʾān-Wissenschaften,al-Faǧr,al-Fadschr,al.fad͡ʒr,extended
Qurʾān & Qurʾān-Wissenschaften,al-Balad,al-Balad,al.balad,extended
Qurʾān & Qurʾān-Wissenschaften,aš-Šams,asch-Schams,aʃ.ʃams,extended
Qurʾān & Qurʾān-Wissenschaften,al-Layl,al-Layl,al.lajl,extended
Qurʾān & Qurʾān-Wissenschaften,aḍ-Ḍuḥā,ad-Duhaa,adˤ.dˤuħaː,extended
Qurʾān & Qurʾān-Wissenschaften,aš-Šarḥ,asch-Scharh,aʃ.ʃarħ,extended
Qurʾān & Qurʾān-Wissenschaften,at-Tīn,at-Tiin,at.tiːn,extended
Qurʾān & Qurʾān-Wissenschaften,al-ʿAlaq,al-Alaq,al.ʕalaq,extended
Qurʾān & Qurʾān-Wissenschaften,al-Qadr,al-Qadr,al.qadr,extended
Qurʾān & Qurʾān-Wissenschaften,al-Bayyinah,al-Bayyinah,al.bajjinah,extended
Qurʾān & Qurʾān-Wissenschaften,az-Zalzalah,az-Zalzalah,az.zalzalah,extended
Qurʾān & Qurʾān-Wissenschaften,al-ʿĀdiyāt,al-Aadiyaat,al.ʕaːdijaːt,extended
Qurʾān & Qurʾān-Wissenschaften,al-Qāriʿah,al-Qaari-ah,al.qaːriʕah,extended
Qurʾān & Qurʾān-Wissenschaften,at-Takāṯur,at-Takaathur,at.takaːθur,extended
Qurʾān & Qurʾān-Wissenschaften,al-ʿAṣr,al-Asr,al.ʕasˤr,extended
Qurʾān & Qurʾān-Wissenschaften,al-Humazah,al-Humazah,al.humazah,extended
Qurʾān & Qurʾān-Wissenschaften,al-Fīl,al-Fiil,al.fiːl,extended
Qurʾān & Qurʾān-Wissenschaften,Qurayš,Quraysch,qurajʃ,extended
Qurʾān & Qurʾān-Wissenschaften,al-Māʿūn,al-Maa-uun,al.maːʕuːn,extended
Qurʾān & Qurʾān-Wissenschaften,al-Kawṯar,al-Kawthar,al.kawθar,extended
Qurʾān & Qurʾān-Wissenschaften,al-Kāfirūn,al-Kaafiruun,al.kaːfiruːn,extended
Qurʾān & Qurʾān-Wissenschaften,an-Naṣr,an-Nasr,an.nasˤr,extended
Qurʾān & Qurʾān-Wissenschaften,al-Masad,al-Masad,al.masad,extended
Qurʾān & Qurʾān-Wissenschaften,al-Iḫlāṣ,al-Ichlaas,al.ixlaːsˤ,extended
Qurʾān & Qurʾān-Wissenschaften,al-Falaq,al-Falaq,al.falaq,extended
Qurʾān & Qurʾān-Wissenschaften,an-Nās,an-Naas,an.naːs,extended
Ḥadīṯ-Wissenschaften,Ḥadīṯ,Hadiith,ħadiːθ,extended
Ḥadīṯ-Wissenschaften,Aḥādīṯ,Ahaadiith,aħaːdiːθ,extended
Ḥadīṯ-Wissenschaften,Athar,Athar,aθar,extended
Ḥadīṯ-Wissenschaften,Āṯār,Aathaar,aːθaːr,extended
Ḥadīṯ-Wissenschaften,Isnād,Isnaad,isnaːd,extended
Ḥadīṯ-Wissenschaften,Sanad,Sanad,sanad,extended
Ḥadīṯ-Wissenschaften,Matn,Matn,matn,extended
Ḥadīṯ-Wissenschaften,Rāwī,Raawii,raːwiː,extended
Ḥadīṯ-Wissenschaften,Ruwāt,Ruwaat,ruwaːt,extended
Ḥadīṯ-Wissenschaften,Dirāyah,Diraayah,diraːjah,extended
Ḥadīṯ-Wissenschaften,Muḥaddiṯ,Muhaddith,muħaddiθ,extended
Ḥadīṯ-Wissenschaften,Muḥaddiṯūn,Muhaddithuun,muħaddiθuːn,extended
Ḥadīṯ-Wissenschaften,Sahīh,Sahiih,sahiːh,extended
Ḥadīṯ-Wissenschaften,Ṣaḥīḥ,Sahiih,sˤaħiːħ,extended
Ḥadīṯ-Wissenschaften,Ḥasan,Hasan,ħasan,extended
Ḥadīṯ-Wissenschaften,Ḍaʿīf,Da-iif,dˤaʕiːf,extended
Ḥadīṯ-Wissenschaften,Mawḍūʿ,Mawduu-,mawdˤuːʕ,extended
Ḥadīṯ-Wissenschaften,Mursal,Mursal,mursal,extended
Ḥadīṯ-Wissenschaften,Munqaṭiʿ,Munqati-,munqatˤiʕ,extended
Ḥadīṯ-Wissenschaften,Muʿḍal,Mu-dal,muʕdˤal,extended
Ḥadīṯ-Wissenschaften,Muʿallaq,Mu-allaq,muʕallaq,extended
Ḥadīṯ-Wissenschaften,Marfūʿ,Marfuu-,marfuːʕ,extended
Ḥadīṯ-Wissenschaften,Mawqūf,Mawquuf,mawquːf,extended
Ḥadīṯ-Wissenschaften,Maqṭūʿ,Maqtuu-,maqtˤuːʕ,extended
Ḥadīṯ-Wissenschaften,Mutawātir,Mutawaatir,mutawaːtir,extended
Ḥadīṯ-Wissenschaften,Āḥād,Aahaad,aːħaːd,extended
Ḥadīṯ-Wissenschaften,Ġarīb,Ghariib,ɣariːb,extended
Ḥadīṯ-Wissenschaften,ʿAzīz,-Aziiz,ʕaziːz,extended
Ḥadīṯ-Wissenschaften,Mašhūr,Maschhuur,maʃhuːr,extended
Ḥadīṯ-Wissenschaften,Mudallas,Mudallas,mudallas,extended
Ḥadīṯ-Wissenschaften,Tadlīs,Tadliis,tadliːs,extended
Ḥadīṯ-Wissenschaften,Šāḏḏ,Schaadhdh,ʃaːðð,extended
Ḥadīṯ-Wissenschaften,Munkar,Munkar,munkar,extended
Ḥadīṯ-Wissenschaften,Maʿlūl,Ma-luul,maʕluːl,extended
Ḥadīṯ-Wissenschaften,ʿIlal,-Ilal,ʕilal,extended
