<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: dar_al_tawhid_islamic_pronunciation_master.csv>index,category,canonical,string_to_replace,alias,ipa,priority
103,Branding & Grundbegriffe,Tawḥīd ar-Rubūbiyyah,Tawhid ar-Rububiyyah,Tawhiid ar-Rubuubiyyah,tawħiːd ar.rubuːbijjah,core
104,Branding & Grundbegriffe,Tawḥīd ar-Rubūbiyyah,tawḥīd ar-rubūbiyyah,Tawhiid ar-Rubuubiyyah,tawħiːd ar.rubuːbijjah,core
105,Branding & Grundbegriffe,Tawḥīd ar-Rubūbiyyah,tawhid ar-rububiyyah,Tawhiid ar-Rubuubiyyah,tawħiːd ar.rubuːbijjah,core
106,Branding & Grundbegriffe,Tawḥīd al-Ulūhiyyah,Tawḥīd al-Ulūhiyyah,Tawhiid al-Uluuhiyyah,tawħiːd al.uluːhijjah,core
107,Branding & Grundbegriffe,Tawḥīd al-Ulūhiyyah,Tawhid al-Uluhiyyah,Tawhiid al-Uluuhiyyah,tawħiːd al.uluːhijjah,core
108,Branding & Grundbegriffe,Tawḥīd al-Ulūhiyyah,tawḥīd al-ulūhiyyah,Tawhiid al-Uluuhiyyah,tawħiːd al.uluːhijjah,core
109,Branding & Grundbegriffe,Tawḥīd al-Ulūhiyyah,tawhid al-uluhiyyah,Tawhiid al-Uluuhiyyah,tawħiːd al.uluːhijjah,core
110,Branding & Grundbegriffe,Tawḥīd al-Asmāʾ wa-ṣ-Ṣifāt,Tawḥīd al-Asmāʾ wa-ṣ-Ṣifāt,Tawhiid al-Asmaa wa-s-Sifaat,tawħiːd al.asmaːʔ wa.sˤ.sˤifaːt,core
111,Branding & Grundbegriffe,Tawḥīd al-Asmāʾ wa-ṣ-Ṣifāt,Tawhid al-Asma' wa-s-Sifat,Tawhiid al-Asmaa wa-s-Sifaat,tawħiːd al.asmaːʔ wa.sˤ.sˤifaːt,core
112,Branding & Grundbegriffe,Tawḥīd al-Asmāʾ wa-ṣ-Ṣifāt,Tawhid al-Asma wa-s-Sifat,Tawhiid al-Asmaa wa-s-Sifaat,tawħiːd al.asmaːʔ wa.sˤ.sˤifaːt,core
113,Branding & Grundbegriffe,Tawḥīd al-Asmāʾ wa-ṣ-Ṣifāt,tawḥīd al-asmāʾ wa-ṣ-ṣifāt,Tawhiid al-Asmaa wa-s-Sifaat,tawħiːd al.asmaːʔ wa.sˤ.sˤifaːt,core
114,Branding & Grundbegriffe,Tawḥīd al-Asmāʾ wa-ṣ-Ṣifāt,tawhid al-asma' wa-s-sifat,Tawhiid al-Asmaa wa-s-Sifaat,tawħiːd al.asmaːʔ wa.sˤ.sˤifaːt,core
115,Branding & Grundbegriffe,Tawḥīd al-Asmāʾ wa-ṣ-Ṣifāt,tawhid al-asma wa-s-sifat,Tawhiid al-Asmaa wa-s-Sifaat,tawħiːd al.asmaːʔ wa.sˤ.sˤifaːt,core
116,Branding & Grundbegriffe,Rubūbiyyah,Rubūbiyyah,Rubuubiyyah,rubuːbijjah,core
117,Branding & Grundbegriffe,Rubūbiyyah,Rububiyyah,Rubuubiyyah,rubuːbijjah,core
118,Branding & Grundbegriffe,Rubūbiyyah,rubūbiyyah,Rubuubiyyah,rubuːbijjah,core
119,Branding & Grundbegriffe,Rubūbiyyah,rububiyyah,Rubuubiyyah,rubuːbijjah,core
120,Branding & Grundbegriffe,Ulūhiyyah,Ulūhiyyah,Uluuhiyyah,uluːhijjah,core
121,Branding & Grundbegriffe,Ulūhiyyah,Uluhiyyah,Uluuhiyyah,uluːhijjah,core
122,Branding & Grundbegriffe,Ulūhiyyah,ulūhiyyah,Uluuhiyyah,uluːhijjah,core
123,Branding & Grundbegriffe,Ulūhiyyah,uluhiyyah,Uluuhiyyah,uluːhijjah,core
124,Branding & Grundbegriffe,Asmāʾ wa-Ṣifāt,Asmāʾ wa-Ṣifāt,Asmaa wa-Sifaat,asmaːʔ wa.sˤifaːt,core
125,Branding & Grundbegriffe,Asmāʾ wa-Ṣifāt,Asma' wa-Sifat,Asmaa wa-Sifaat,asmaːʔ wa.sˤifaːt,core
126,Branding & Grundbegriffe,Asmāʾ wa-Ṣifāt,Asma wa-Sifat,Asmaa wa-Sifaat,asmaːʔ wa.sˤifaːt,core
127,Branding & Grundbegriffe,Asmāʾ wa-Ṣifāt,asmāʾ wa-ṣifāt,Asmaa wa-Sifaat,asmaːʔ wa.sˤifaːt,core
128,Branding & Grundbegriffe,Asmāʾ wa-Ṣifāt,asma' wa-sifat,Asmaa wa-Sifaat,asmaːʔ wa.sˤifaːt,core
129,Branding & Grundbegriffe,Asmāʾ wa-Ṣifāt,asma wa-sifat,Asmaa wa-Sifaat,asmaːʔ wa.sˤifaːt,core
130,Branding & Grundbegriffe,Širk,Širk,Schirk,ʃirk,core
131,Branding & Grundbegriffe,Širk,Shirk,Schirk,ʃirk,core
132,Branding & Grundbegriffe,Širk,širk,Schirk,ʃirk,core
133,Branding & Grundbegriffe,Širk,shirk,Schirk,ʃirk,core
134,Branding & Grundbegriffe,Kufr,Kufr,Kufr,kufr,core
135,Branding & Grundbegriffe,Kufr,kufr,Kufr,kufr,core
136,Branding & Grundbegriffe,Nifāq,Nifāq,Nifaaq,nifaːq,core
137,Branding & Grundbegriffe,Nifāq,Nifaq,Nifaaq,nifaːq,core
138,Branding & Grundbegriffe,Nifāq,nifāq,Nifaaq,nifaːq,core
139,Branding & Grundbegriffe,Nifāq,nifaq,Nifaaq,nifaːq,core
140,Branding & Grundbegriffe,Riddah,Riddah,Riddah,riddah,core
141,Branding & Grundbegriffe,Riddah,riddah,Riddah,riddah,core
142,Branding & Grundbegriffe,Kāfir,Kāfir,Kaafir,kaːfir,core
143,Branding & Grundbegriffe,Kāfir,Kafir,Kaafir,kaːfir,core
144,Branding & Grundbegriffe,Kāfir,kāfir,Kaafir,kaːfir,core
145,Branding & Grundbegriffe,Kāfir,kafir,Kaafir,kaːfir,core
146,Branding & Grundbegriffe,Kuffār,Kuffār,Kuffaar,kuffaːr,core
147,Branding & Grundbegriffe,Kuffār,Kuffar,Kuffaar,kuffaːr,core
148,Branding & Grundbegriffe,Kuffār,kuffār,Kuffaar,kuffaːr,core
149,Branding & Grundbegriffe,Kuffār,kuffar,Kuffaar,kuffaːr,core
150,Branding & Grundbegriffe,Mušrik,Mušrik,Muschrik,muʃrik,core
151,Branding & Grundbegriffe,Mušrik,Mushrik,Muschrik,muʃrik,core
152,Branding & Grundbegriffe,Mušrik,mušrik,Muschrik,muʃrik,core
153,Branding & Grundbegriffe,Mušrik,mushrik,Muschrik,muʃrik,core
154,Branding & Grundbegriffe,Mušrikūn,Mušrikūn,Muschrikuun,muʃrikuːn,core
155,Branding & Grundbegriffe,Mušrikūn,Mushrikun,Muschrikuun,muʃrikuːn,core
156,Branding & Grundbegriffe,Mušrikūn,mušrikūn,Muschrikuun,muʃrikuːn,core
157,Branding & Grundbegriffe,Mušrikūn,mushrikun,Muschrikuun,muʃrikuːn,core
158,Branding & Grundbegriffe,Munāfiq,Munāfiq,Munaafiq,munaːfiq,core
159,Branding & Grundbegriffe,Munāfiq,Munafiq,Munaafiq,munaːfiq,core
160,Branding & Grundbegriffe,Munāfiq,munāfiq,Munaafiq,munaːfiq,core
161,Branding & Grundbegriffe,Munāfiq,munafiq,Munaafiq,munaːfiq,core
162,Branding & Grundbegriffe,Munāfiqūn,Munāfiqūn,Munaafiquun,munaːfiquːn,core
163,Branding & Grundbegriffe,Munāfiqūn,Munafiqun,Munaafiquun,munaːfiquːn,core
164,Branding & Grundbegriffe,Munāfiqūn,munāfiqūn,Munaafiquun,munaːfiquːn,core
165,Branding & Grundbegriffe,Munāfiqūn,munafiqun,Munaafiquun,munaːfiquːn,core
166,Branding & Grundbegriffe,Murtadd,Murtadd,Murtadd,murtadd,core
167,Branding & Grundbegriffe,Murtadd,murtadd,Murtadd,murtadd,core
168,Branding & Grundbegriffe,Ṭāġūt,Ṭāġūt,Taaghuut,tˤaːˈɣuːt,core
169,Branding & Grundbegriffe,Ṭāġūt,Taghut,Taaghuut,tˤaːˈɣuːt,core
170,Branding & Grundbegriffe,Ṭāġūt,ṭāġūt,Taaghuut,tˤaːˈɣuːt,core
171,Branding & Grundbegriffe,Ṭāġūt,taghut,Taaghuut,tˤaːˈɣuːt,core
172,Branding & Grundbegriffe,Takfīr,Takfīr,Takfiir,takfiːr,core
173,Branding & Grundbegriffe,Takfīr,Takfir,Takfiir,takfiːr,core
174,Branding & Grundbegriffe,Takfīr,takfīr,Takfiir,takfiːr,core
175,Branding & Grundbegriffe,Takfīr,takfir,Takfiir,takfiːr,core
176,Branding & Grundbegriffe,Takfīr al-muʿayyan,Takfīr al-muʿayyan,Takfiir al-mu-ayyan,takfiːr al.muʕajjan,core
177,Branding & Grundbegriffe,Takfīr al-muʿayyan,Takfir al-mu'ayyan,Takfiir al-mu-ayyan,takfiːr al.muʕajjan,core
178,Branding & Grundbegriffe,Takfīr al-muʿayyan,Takfir al-muayyan,Takfiir al-mu-ayyan,takfiːr al.muʕajjan,core
179,Branding & Grundbegriffe,Takfīr al-muʿayyan,takfīr al-muʿayyan,Takfiir al-mu-ayyan,takfiːr al.muʕajjan,core
180,Branding & Grundbegriffe,Takfīr al-muʿayyan,takfir al-mu'ayyan,Takfiir al-mu-ayyan,takfiːr al.muʕajjan,core
181,Branding & Grundbegriffe,Takfīr al-muʿayyan,takfir al-muayyan,Takfiir al-mu-ayyan,takfiːr al.muʕajjan,core
182,"Allah, Lobpreisungen & Grußformeln",Allāh,Allāh,Allaah,ʔalˈlaːh,core
183,"Allah, Lobpreisungen & Grußformeln",Allāh,Allah,Allaah,ʔalˈlaːh,core
184,"Allah, Lobpreisungen & Grußformeln",Allāh,allāh,Allaah,ʔalˈlaːh,core
185,"Allah, Lobpreisungen & Grußformeln",Allāh,allah,Allaah,ʔalˈlaːh,core
186,"Allah, Lobpreisungen & Grußformeln",Subḥānahu wa-taʿālā,Subḥānahu wa-taʿālā,Subhaanahu wa ta-aalaa,subˈħaːnahu wa.taʕaːlaː,core
187,"Allah, Lobpreisungen & Grußformeln",Subḥānahu wa-taʿālā,Subhanahu wa-ta'ala,Subhaanahu wa ta-aalaa,subˈħaːnahu wa.taʕaːlaː,core
188,"Allah, Lobpreisungen & Grußformeln",Subḥānahu wa-taʿālā,Subhanahu wa-taala,Subhaanahu wa ta-aalaa,subˈħaːnahu wa.taʕaːlaː,core
189,"Allah, Lobpreisungen & Grußformeln",Subḥānahu wa-taʿālā,subḥānahu wa-taʿālā,Subhaanahu wa ta-aalaa,subˈħaːnahu wa.taʕaːlaː,core
190,"Allah, Lobpreisungen & Grußformeln",Subḥānahu wa-taʿālā,subhanahu wa-ta'ala,Subhaanahu wa ta-aalaa,subˈħaːnahu wa.taʕaːlaː,core
191,"Allah, Lobpreisungen & Grußformeln",Subḥānahu wa-taʿālā,subhanahu wa-taala,Subhaanahu wa ta-aalaa,subˈħaːnahu wa.taʕaːlaː,core
192,"Allah, Lobpreisungen & Grußformeln",ʿazza wa-ǧall,ʿazza wa-ǧall,Azza wa dschall,ʕazza wa d͡ʒall,core
193,"Allah, Lobpreisungen & Grußformeln",ʿazza wa-ǧall,'azza wa-jall,Azza wa dschall,ʕazza wa d͡ʒall,core
194,"Allah, Lobpreisungen & Grußformeln",ʿazza wa-ǧall,azza wa-jall,Azza wa dschall,ʕazza wa d͡ʒall,core
195,"Allah, Lobpreisungen & Grußformeln",ʿazza wa-jall,ʿazza wa-jall,Azza wa dschall,ʕazza wa.d͡ʒall,core
196,"Allah, Lobpreisungen & Grußformeln",tabāraka wa-taʿālā,tabāraka wa-taʿālā,tabaaraka wa-ta-aalaa,tabaːraka wa.taʕaːlaː,core
197,"Allah, Lobpreisungen & Grußformeln",tabāraka wa-taʿālā,tabaraka wa-ta'ala,tabaaraka wa-ta-aalaa,tabaːraka wa.taʕaːlaː,core
198,"Allah, Lobpreisungen & Grußformeln",tabāraka wa-taʿālā,tabaraka wa-taala,tabaaraka wa-ta-aalaa,tabaːraka wa.taʕaːlaː,core
199,"Allah, Lobpreisungen & Grußformeln",ṣallā llāhu ʿalayhi wa-sallam,ṣallā llāhu ʿalayhi wa-sallam,Sallallaahu alaihi wa sallam,sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam,core
200,"Allah, Lobpreisungen & Grußformeln",ṣallā llāhu ʿalayhi wa-sallam,salla llahu 'alayhi wa-sallam,Sallallaahu alaihi wa sallam,sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam,core
201,"Allah, Lobpreisungen & Grußformeln",ṣallā llāhu ʿalayhi wa-sallam,salla llahu alayhi wa-sallam,Sallallaahu alaihi wa sallam,sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam,core
202,"Allah, Lobpreisungen & Grußformeln",ṣallā Allāhu ʿalayhi wa-sallam,ṣallā Allāhu ʿalayhi wa-sallam,Sallallaahu alaihi wa sallam,sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam,core
203,"Allah, Lobpreisungen & Grußformeln",ṣallā Allāhu ʿalayhi wa-sallam,salla Allahu 'alayhi wa-sallam,Sallallaahu alaihi wa sallam,sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam,core
204,"Allah, Lobpreisungen & Grußformeln",ṣallā Allāhu ʿalayhi wa-sallam,salla Allahu alayhi wa-sallam,Sallallaahu alaihi wa sallam,sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam,core
205,"Allah, Lobpreisungen & Grußformeln",ṣallā Allāhu ʿalayhi wa-sallam,ṣallā allāhu ʿalayhi wa-sallam,Sallallaahu alaihi wa sallam,sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam,core
206,"Allah, Lobpreisungen & Grußformeln",ṣallā Allāhu ʿalayhi wa-sallam,salla allahu 'alayhi wa-sallam,Sallallaahu alaihi wa sallam,sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam,core
207,"Allah, Lobpreisungen & Grußformeln",ṣallā Allāhu ʿalayhi wa-sallam,salla allahu alayhi wa-sallam,Sallallaahu alaihi wa sallam,sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam,core
208,"Allah, Lobpreisungen & Grußformeln",ʿalayhi s-salām,ʿalayhi s-salām,Alaihis-Salaam,ʕaˈlajhis.saˈlaːm,core
209,"Allah, Lobpreisungen & Grußformeln",ʿalayhi s-salām,'alayhi s-salam,Alaihis-Salaam,ʕaˈlajhis.saˈlaːm,core
210,"Allah, Lobpreisungen & Grußformeln",ʿalayhi s-salām,alayhi s-salam,Alaihis-Salaam,ʕaˈlajhis.saˈlaːm,core
211,"Allah, Lobpreisungen & Grußformeln",ʿalayhā s-salām,ʿalayhā s-salām,Alaihas-Salaam,ʕaˈlajhaːs.saˈlaːm,core
212,"Allah, Lobpreisungen & Grußformeln",ʿalayhā s-salām,'alayha s-salam,Alaihas-Salaam,ʕaˈlajhaːs.saˈlaːm,core
213,"Allah, Lobpreisungen & Grußformeln",ʿalayhā s-salām,alayha s-salam,Alaihas-Salaam,ʕaˈlajhaːs.saˈlaːm,core
214,"Allah, Lobpreisungen & Grußformeln",ʿalayhimā s-salām,ʿalayhimā s-salām,Alaihimas-Salaam,ʕaˈlajhimaːs.saˈlaːm,core
215,"Allah, Lobpreisungen & Grußformeln",ʿalayhimā s-salām,'alayhima s-salam,Alaihimas-Salaam,ʕaˈlajhimaːs.saˈlaːm,core
216,"Allah, Lobpreisungen & Grußformeln",ʿalayhimā s-salām,alayhima s-salam,Alaihimas-Salaam,ʕaˈlajhimaːs.saˈlaːm,core
217,"Allah, Lobpreisungen & Grußformeln",ʿalayhimu s-salām,ʿalayhimu s-salām,Alaihimus-Salaam,ʕaˈlajhimus.saˈlaːm,core
218,"Allah, Lobpreisungen & Grußformeln",ʿalayhimu s-salām,'alayhimu s-salam,Alaihimus-Salaam,ʕaˈlajhimus.saˈlaːm,core
219,"Allah, Lobpreisungen & Grußformeln",ʿalayhimu s-salām,alayhimu s-salam,Alaihimus-Salaam,ʕaˈlajhimus.saˈlaːm,core
220,"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhu,raḍiya llāhu ʿanhu,Radiyallaahu anhu,radˤi.jalˈlaːhu ʕanhu,core
221,"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhu,radiya llahu 'anhu,Radiyallaahu anhu,radˤi.jalˈlaːhu ʕanhu,core
222,"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhu,radiya llahu anhu,Radiyallaahu anhu,radˤi.jalˈlaːhu ʕanhu,core
223,"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhā,raḍiya llāhu ʿanhā,Radiyallaahu anhaa,radˤi.jalˈlaːhu ʕanhaː,core
224,"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhā,radiya llahu 'anha,Radiyallaahu anhaa,radˤi.jalˈlaːhu ʕanhaː,core
