<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: dar_al_tawhid_canonical_terms.csv>index,category,input,alias,ipa,priority
85,"Allah, Lobpreisungen & Grußformeln",as-salāmu ʿalaykum,as-Salaamu alaikum,as.saˈlaːmu ʕaˈlajkum,core
86,"Allah, Lobpreisungen & Grußformeln",wa-ʿalaykumu s-salām,wa alaikumus-Salaam,waʕaˈlajkumu s.saˈlaːm,core
87,"Allah, Lobpreisungen & Grußformeln",fī amāni llāh,fii amaani llaah,fiː amaːni llaːh,core
88,"Allah, Lobpreisungen & Grußformeln",ḥasbunā llāhu wa-niʿma l-wakīl,hasbunaa llaahu wa-ni-ma l-wakiil,ħasbunaː llaːhu wa.niʕma l.wakiːl,core
89,"Allah, Lobpreisungen & Grußformeln",lā ḥawla wa-lā quwwata illā bi-llāh,laa hawla wa-laa quwwata illaa bi-llaah,laː ħawla wa.laː quwwata illaː bi.llaːh,core
90,"Allah, Lobpreisungen & Grußformeln",innā li-llāhi wa-innā ilayhi rāǧiʿūn,innaa li-llaahi wa-innaa ilayhi raadschi-uun,innaː li.llaːhi wa.innaː ilajhi raːd͡ʒiʕuːn,core
91,Qurʾān & Qurʾān-Wissenschaften,Qurʾān,Qur-aan,qurˈʔaːn,extended
92,Qurʾān & Qurʾān-Wissenschaften,al-Qurʾān,al-Qur-aan,al.qurˈʔaːn,extended
93,Qurʾān & Qurʾān-Wissenschaften,Muṣḥaf,Mushaf,musˤħaf,extended
94,Qurʾān & Qurʾān-Wissenschaften,Sūrah,Suurah,suːrah,extended
95,Qurʾān & Qurʾān-Wissenschaften,Sūra,Suura,suːra,extended
96,Qurʾān & Qurʾān-Wissenschaften,Āyah,Aayah,aːjah,extended
97,Qurʾān & Qurʾān-Wissenschaften,Āyāt,Aayaat,aːjaːt,extended
98,Qurʾān & Qurʾān-Wissenschaften,Tafsīr,Tafsiir,tafsiːr,extended
99,Qurʾān & Qurʾān-Wissenschaften,Mufassir,Mufassir,mufassir,extended
100,Qurʾān & Qurʾān-Wissenschaften,Mufassirūn,Mufassiruun,mufassiruːn,extended
101,Qurʾān & Qurʾān-Wissenschaften,Taʾwīl,Ta-wiil,taʔwiːl,extended
102,Qurʾān & Qurʾān-Wissenschaften,Tanzīl,Tanziil,tanziːl,extended
103,Qurʾān & Qurʾān-Wissenschaften,Waḥy,Wahy,waħj,extended
104,Qurʾān & Qurʾān-Wissenschaften,Asbāb an-nuzūl,Asbaab an-nuzuul,asbaːb an.nuzuːl,extended
105,Qurʾān & Qurʾān-Wissenschaften,Nuzūl,Nuzuul,nuzuːl,extended
106,Qurʾān & Qurʾān-Wissenschaften,Makkiyy,Makkiyy,makkijj,extended
107,Qurʾān & Qurʾān-Wissenschaften,Madaniyy,Madaniyy,madanijj,extended
108,Qurʾān & Qurʾān-Wissenschaften,Muḥkam,Muhkam,muħkam,extended
109,Qurʾān & Qurʾān-Wissenschaften,Mutašābih,Mutaschaabih,mutaʃaːbih,extended
110,Qurʾān & Qurʾān-Wissenschaften,Nāsikh,Naasikh,naːsix,extended
111,Qurʾān & Qurʾān-Wissenschaften,Mansūkh,Mansuukh,mansuːx,extended
112,Qurʾān & Qurʾān-Wissenschaften,Qirāʾah,Qiraa-ah,qiraːʔah,extended
113,Qurʾān & Qurʾān-Wissenschaften,Qirāʾāt,Qiraa-aat,qiraːʔaːt,extended
114,Qurʾān & Qurʾān-Wissenschaften,Taǧwīd,Tadschwiid,tad͡ʒwiːd,extended
115,Qurʾān & Qurʾān-Wissenschaften,Tartīl,Tartiil,tartiːl,extended
116,Qurʾān & Qurʾān-Wissenschaften,Ḥifẓ,Hifz,ħifðˤ,extended
117,Qurʾān & Qurʾān-Wissenschaften,Ḥāfiẓ,Haafiz,ħaːfiðˤ,extended
118,Qurʾān & Qurʾān-Wissenschaften,Ḥuffāẓ,Huffaaz,ħuffaːðˤ,extended
119,Qurʾān & Qurʾān-Wissenschaften,Riwayah,Riwayah,riwajah,extended
120,Qurʾān & Qurʾān-Wissenschaften,Ḥafṣ ʿan ʿĀṣim,Hafs an Aasim,ħafsˤ ʕan ʕaːsˤim,extended
121,Qurʾān & Qurʾān-Wissenschaften,Warš ʿan Nāfiʿ,Warsch an Naafi-,warʃ ʕan naːfiʕ,extended
122,Qurʾān & Qurʾān-Wissenschaften,Sajdah,Sajdah,sajdah,extended
123,Qurʾān & Qurʾān-Wissenschaften,Sūrat al-Fātiḥah,Suurat al-Faatihah,suːrat al.faːtiħah,extended
124,Qurʾān & Qurʾān-Wissenschaften,al-Fātiḥah,al-Faatihah,al.faːtiħah,extended
125,Qurʾān & Qurʾān-Wissenschaften,Āyat al-Kursī,Aayat al-Kursii,aːjat al.kursiː,extended
126,Qurʾān & Qurʾān-Wissenschaften,al-Baqarah,al-Baqarah,al.baqarah,extended
127,Qurʾān & Qurʾān-Wissenschaften,Āl ʿImrān,Aal Imraan,aːl ʕimraːn,extended
128,Qurʾān & Qurʾān-Wissenschaften,an-Nisāʾ,an-Nisaa-,an.nisaːʔ,extended
129,Qurʾān & Qurʾān-Wissenschaften,al-Māʾidah,al-Maa-idah,al.maːʔidah,extended
130,Qurʾān & Qurʾān-Wissenschaften,al-Anʿām,al-An-aam,al.anʕaːm,extended
131,Qurʾān & Qurʾān-Wissenschaften,al-Aʿrāf,al-A-raaf,al.aʕraːf,extended
132,Qurʾān & Qurʾān-Wissenschaften,al-Anfāl,al-Anfaal,al.anfaːl,extended
133,Qurʾān & Qurʾān-Wissenschaften,at-Tawbah,at-Tawbah,at.tawbah,extended
134,Qurʾān & Qurʾān-Wissenschaften,Yūnus,Yuunus,juːnus,extended
135,Qurʾān & Qurʾān-Wissenschaften,Hūd,Huud,huːd,extended
136,Qurʾān & Qurʾān-Wissenschaften,Yūsuf,Yuusuf,ˈjuːsuf,extended
137,Qurʾān & Qurʾān-Wissenschaften,ar-Raʿd,ar-Ra-d,ar.raʕd,extended
138,Qurʾān & Qurʾān-Wissenschaften,Ibrāhīm,Ibraahiim,ʔib.raːˈhiːm,extended
139,Qurʾān & Qurʾān-Wissenschaften,al-Ḥiǧr,al-Hidschr,al.ħid͡ʒr,extended
140,Qurʾān & Qurʾān-Wissenschaften,an-Naḥl,an-Nahl,an.naħl,extended
141,Qurʾān & Qurʾān-Wissenschaften,al-Isrāʾ,al-Israa-,al.israːʔ,extended
142,Qurʾān & Qurʾān-Wissenschaften,al-Kahf,al-Kahf,al.kahf,extended
143,Qurʾān & Qurʾān-Wissenschaften,Maryam,Maryam,marjam,extended
144,Qurʾān & Qurʾān-Wissenschaften,Ṭā-Hā,Taa-Haa,tˤaː.haː,extended
145,Qurʾān & Qurʾān-Wissenschaften,al-Anbiyāʾ,al-Anbiyaa-,al.anbijaːʔ,extended
146,Qurʾān & Qurʾān-Wissenschaften,al-Ḥaǧǧ,al-Hadschdsch,al.ħad͡ʒd͡ʒ,extended
147,Qurʾān & Qurʾān-Wissenschaften,al-Muʾminūn,al-Mu-minuun,al.muʔminuːn,extended
148,Qurʾān & Qurʾān-Wissenschaften,an-Nūr,an-Nuur,an.nuːr,extended
149,Qurʾān & Qurʾān-Wissenschaften,al-Furqān,al-Furqaan,al.furqaːn,extended
150,Qurʾān & Qurʾān-Wissenschaften,aš-Šuʿarāʾ,asch-Schu-araa-,aʃ.ʃuʕaraːʔ,extended
151,Qurʾān & Qurʾān-Wissenschaften,an-Naml,an-Naml,an.naml,extended
152,Qurʾān & Qurʾān-Wissenschaften,al-Qaṣaṣ,al-Qasas,al.qasˤasˤ,extended
153,Qurʾān & Qurʾān-Wissenschaften,al-ʿAnkabūt,al-Ankabuut,al.ʕankabuːt,extended
154,Qurʾān & Qurʾān-Wissenschaften,ar-Rūm,ar-Ruum,ar.ruːm,extended
155,Qurʾān & Qurʾān-Wissenschaften,Luqmān,Luqmaan,luqmaːn,extended
156,Qurʾān & Qurʾān-Wissenschaften,as-Saǧdah,as-Sadschdah,as.sad͡ʒdah,extended
157,Qurʾān & Qurʾān-Wissenschaften,al-Aḥzāb,al-Ahzaab,al.aħzaːb,extended
158,Qurʾān & Qurʾān-Wissenschaften,Sabaʾ,Saba-,sabaʔ,extended
159,Qurʾān & Qurʾān-Wissenschaften,Fāṭir,Faatir,faːtˤir,extended
160,Qurʾān & Qurʾān-Wissenschaften,Yā-Sīn,Yaa-Siin,jaː.siːn,extended
161,Qurʾān & Qurʾān-Wissenschaften,aṣ-Ṣāffāt,as-Saaffaat,asˤ.sˤaːffaːt,extended
162,Qurʾān & Qurʾān-Wissenschaften,Ṣād,Saad,sˤaːd,extended
163,Qurʾān & Qurʾān-Wissenschaften,az-Zumar,az-Zumar,az.zumar,extended
164,Qurʾān & Qurʾān-Wissenschaften,Ġāfir,Ghaafir,ɣaːfir,extended
165,Qurʾān & Qurʾān-Wissenschaften,Fuṣṣilat,Fussilat,fusˤsˤilat,extended
166,Qurʾān & Qurʾān-Wissenschaften,aš-Šūrā,asch-Schuuraa,aʃ.ʃuːraː,extended
167,Qurʾān & Qurʾān-Wissenschaften,az-Zuḫruf,az-Zuchruf,az.zuxruf,extended
168,Qurʾān & Qurʾān-Wissenschaften,ad-Duḫān,ad-Duchaan,ad.duxaːn,extended
169,Qurʾān & Qurʾān-Wissenschaften,al-Ǧāṯiyah,al-Dschaathiyah,al.d͡ʒaːθijah,extended
170,Qurʾān & Qurʾān-Wissenschaften,al-Aḥqāf,al-Ahqaaf,al.aħqaːf,extended
171,Qurʾān & Qurʾān-Wissenschaften,Muḥammad,Muhammad,muˈħammad,extended
172,Qurʾān & Qurʾān-Wissenschaften,al-Fatḥ,al-Fath,al.fatħ,extended
173,Qurʾān & Qurʾān-Wissenschaften,al-Ḥuǧurāt,al-Hudschuraat,al.ħud͡ʒuraːt,extended
174,Qurʾān & Qurʾān-Wissenschaften,Qāf,Qaaf,qaːf,extended
175,Qurʾān & Qurʾān-Wissenschaften,aḏ-Ḏāriyāt,adh-Dhaariyaat,að.ðaːrijaːt,extended
176,Qurʾān & Qurʾān-Wissenschaften,aṭ-Ṭūr,at-Tuur,atˤ.tˤuːr,extended
177,Qurʾān & Qurʾān-Wissenschaften,an-Naǧm,an-Nadschm,an.nad͡ʒm,extended
178,Qurʾān & Qurʾān-Wissenschaften,al-Qamar,al-Qamar,al.qamar,extended
179,Qurʾān & Qurʾān-Wissenschaften,ar-Raḥmān,ar-Rahmaan,ar.raħmaːn,extended
180,Qurʾān & Qurʾān-Wissenschaften,al-Wāqiʿah,al-Waaqi-ah,al.waːqiʕah,extended
181,Qurʾān & Qurʾān-Wissenschaften,al-Ḥadīd,al-Hadiid,al.ħadiːd,extended
182,Qurʾān & Qurʾān-Wissenschaften,al-Muǧādilah,al-Mudschaadilah,al.mud͡ʒaːdilah,extended
183,Qurʾān & Qurʾān-Wissenschaften,al-Ḥašr,al-Haschr,al.ħaʃr,extended
184,Qurʾān & Qurʾān-Wissenschaften,al-Mumtaḥanah,al-Mumtahanah,al.mumtaħanah,extended
185,Qurʾān & Qurʾān-Wissenschaften,aṣ-Ṣaff,as-Saff,asˤ.sˤaff,extended
186,Qurʾān & Qurʾān-Wissenschaften,al-Ǧumuʿah,al-Dschumu-ah,al.d͡ʒumuʕah,extended
187,Qurʾān & Qurʾān-Wissenschaften,al-Munāfiqūn,al-Munaafiquun,al.munaːfiquːn,extended
188,Qurʾān & Qurʾān-Wissenschaften,at-Taġābun,at-Taghaabun,at.taɣaːbun,extended
189,Qurʾān & Qurʾān-Wissenschaften,aṭ-Ṭalāq,at-Talaaq,atˤ.tˤalaːq,extended
190,Qurʾān & Qurʾān-Wissenschaften,at-Taḥrīm,at-Tahriim,at.taħriːm,extended
191,Qurʾān & Qurʾān-Wissenschaften,al-Mulk,al-Mulk,al.mulk,extended
192,Qurʾān & Qurʾān-Wissenschaften,al-Qalam,al-Qalam,al.qalam,extended
193,Qurʾān & Qurʾān-Wissenschaften,al-Ḥāqqah,al-Haaqqah,al.ħaːqqah,extended
194,Qurʾān & Qurʾān-Wissenschaften,al-Maʿāriǧ,al-Ma-aaridsch,al.maʕaːrid͡ʒ,extended
195,Qurʾān & Qurʾān-Wissenschaften,Nūḥ,Nuuh,nuːħ,extended
196,Qurʾān & Qurʾān-Wissenschaften,al-Ǧinn,al-Dschinn,al.d͡ʒinn,extended
197,Qurʾān & Qurʾān-Wissenschaften,al-Muzzammil,al-Muzzammil,al.muzzammil,extended
198,Qurʾān & Qurʾān-Wissenschaften,al-Muddaṯṯir,al-Muddaththir,al.muddaθθir,extended
199,Qurʾān & Qurʾān-Wissenschaften,al-Qiyāmah,al-Qiyaamah,al.qijaːmah,extended
200,Qurʾān & Qurʾān-Wissenschaften,al-Insān,al-Insaan,al.insaːn,extended
201,Qurʾān & Qurʾān-Wissenschaften,al-Mursalāt,al-Mursalaat,al.mursalaːt,extended
202,Qurʾān & Qurʾān-Wissenschaften,an-Nabaʾ,an-Naba-,an.nabaʔ,extended
203,Qurʾān & Qurʾān-Wissenschaften,an-Nāziʿāt,an-Naazi-aat,an.naːziʕaːt,extended
204,Qurʾān & Qurʾān-Wissenschaften,ʿAbasa,-Abasa,ʕabasa,extended
205,Qurʾān & Qurʾān-Wissenschaften,at-Takwīr,at-Takwiir,at.takwiːr,extended
206,Qurʾān & Qurʾān-Wissenschaften,al-Infiṭār,al-Infitaar,al.infitˤaːr,extended
207,Qurʾān & Qurʾān-Wissenschaften,al-Muṭaffifīn,al-Mutaffifiin,al.mutˤaffifiːn,extended
208,Qurʾān & Qurʾān-Wissenschaften,al-Inšiqāq,al-Inschiqaaq,al.inʃiqaːq,extended
209,Qurʾān & Qurʾān-Wissenschaften,al-Burūǧ,al-Buruudsch,al.buruːd͡ʒ,extended
210,Qurʾān & Qurʾān-Wissenschaften,aṭ-Ṭāriq,at-Taariq,atˤ.tˤaːriq,extended
211,Qurʾān & Qurʾān-Wissenschaften,al-Aʿlā,al-A-laa,al.aʕlaː,extended
212,Qurʾān & Qurʾān-Wissenschaften,al-Ġāšiyah,al-Ghaaschiyah,al.ɣaːʃijah,extended
213,Qurʾān & Qurʾān-Wissenschaften,al-Faǧr,al-Fadschr,al.fad͡ʒr,extended
214,Qurʾān & Qurʾān-Wissenschaften,al-Balad,al-Balad,al.balad,extended
215,Qurʾān & Qurʾān-Wissenschaften,aš-Šams,asch-Schams,aʃ.ʃams,extended
216,Qurʾān & Qurʾān-Wissenschaften,al-Layl,al-Layl,al.lajl,extended
217,Qurʾān & Qurʾān-Wissenschaften,aḍ-Ḍuḥā,ad-Duhaa,adˤ.dˤuħaː,extended
218,Qurʾān & Qurʾān-Wissenschaften,aš-Šarḥ,asch-Scharh,aʃ.ʃarħ,extended
219,Qurʾān & Qurʾān-Wissenschaften,at-Tīn,at-Tiin,at.tiːn,extended
220,Qurʾān & Qurʾān-Wissenschaften,al-ʿAlaq,al-Alaq,al.ʕalaq,extended
221,Qurʾān & Qurʾān-Wissenschaften,al-Qadr,al-Qadr,al.qadr,extended
222,Qurʾān & Qurʾān-Wissenschaften,al-Bayyinah,al-Bayyinah,al.bajjinah,extended
223,Qurʾān & Qurʾān-Wissenschaften,az-Zalzalah,az-Zalzalah,az.zalzalah,extended
224,Qurʾān & Qurʾān-Wissenschaften,al-ʿĀdiyāt,al-Aadiyaat,al.ʕaːdijaːt,extended
225,Qurʾān & Qurʾān-Wissenschaften,al-Qāriʿah,al-Qaari-ah,al.qaːriʕah,extended
226,Qurʾān & Qurʾān-Wissenschaften,at-Takāṯur,at-Takaathur,at.takaːθur,extended
227,Qurʾān & Qurʾān-Wissenschaften,al-ʿAṣr,al-Asr,al.ʕasˤr,extended
228,Qurʾān & Qurʾān-Wissenschaften,al-Humazah,al-Humazah,al.humazah,extended
229,Qurʾān & Qurʾān-Wissenschaften,al-Fīl,al-Fiil,al.fiːl,extended
230,Qurʾān & Qurʾān-Wissenschaften,Qurayš,Quraysch,qurajʃ,extended
231,Qurʾān & Qurʾān-Wissenschaften,al-Māʿūn,al-Maa-uun,al.maːʕuːn,extended
232,Qurʾān & Qurʾān-Wissenschaften,al-Kawṯar,al-Kawthar,al.kawθar,extended
233,Qurʾān & Qurʾān-Wissenschaften,al-Kāfirūn,al-Kaafiruun,al.kaːfiruːn,extended
234,Qurʾān & Qurʾān-Wissenschaften,an-Naṣr,an-Nasr,an.nasˤr,extended
235,Qurʾān & Qurʾān-Wissenschaften,al-Masad,al-Masad,al.masad,extended
236,Qurʾān & Qurʾān-Wissenschaften,al-Iḫlāṣ,al-Ichlaas,al.ixlaːsˤ,extended
237,Qurʾān & Qurʾān-Wissenschaften,al-Falaq,al-Falaq,al.falaq,extended
238,Qurʾān & Qurʾān-Wissenschaften,an-Nās,an-Naas,an.naːs,extended
239,Ḥadīṯ-Wissenschaften,Ḥadīṯ,Hadiith,ħadiːθ,extended
240,Ḥadīṯ-Wissenschaften,Aḥādīṯ,Ahaadiith,aħaːdiːθ,extended
241,Ḥadīṯ-Wissenschaften,Athar,Athar,aθar,extended
242,Ḥadīṯ-Wissenschaften,Āṯār,Aathaar,aːθaːr,extended
243,Ḥadīṯ-Wissenschaften,Isnād,Isnaad,isnaːd,extended
244,Ḥadīṯ-Wissenschaften,Sanad,Sanad,sanad,extended
245,Ḥadīṯ-Wissenschaften,Matn,Matn,matn,extended
246,Ḥadīṯ-Wissenschaften,Rāwī,Raawii,raːwiː,extended
247,Ḥadīṯ-Wissenschaften,Ruwāt,Ruwaat,ruwaːt,extended
248,Ḥadīṯ-Wissenschaften,Dirāyah,Diraayah,diraːjah,extended
249,Ḥadīṯ-Wissenschaften,Muḥaddiṯ,Muhaddith,muħaddiθ,extended
250,Ḥadīṯ-Wissenschaften,Muḥaddiṯūn,Muhaddithuun,muħaddiθuːn,extended
251,Ḥadīṯ-Wissenschaften,Sahīh,Sahiih,sahiːh,extended
252,Ḥadīṯ-Wissenschaften,Ṣaḥīḥ,Sahiih,sˤaħiːħ,extended
253,Ḥadīṯ-Wissenschaften,Ḥasan,Hasan,ħasan,extended
254,Ḥadīṯ-Wissenschaften,Ḍaʿīf,Da-iif,dˤaʕiːf,extended
255,Ḥadīṯ-Wissenschaften,Mawḍūʿ,Mawduu-,mawdˤuːʕ,extended
256,Ḥadīṯ-Wissenschaften,Mursal,Mursal,mursal,extended
257,Ḥadīṯ-Wissenschaften,Munqaṭiʿ,Munqati-,munqatˤiʕ,extended
258,Ḥadīṯ-Wissenschaften,Muʿḍal,Mu-dal,muʕdˤal,extended
